timestamp,sentiment_mean,count,rolling_mean,rolling_std,zscore,spike
2025-07-09,-0.1017655172413793,58,-0.1017655172413793,0.0,0.0,False
2025-07-16,-0.08255757575757576,66,-0.09216154649947753,0.013582065675831877,0.7071067291247516,False
2025-07-23,-0.083025,60,-0.0891160309996517,0.010957269184899289,0.5558894594062322,False
2025-07-30,-0.06094166666666667,60,-0.07550808080808082,0.012617049459362253,1.1545023290768726,False
2025-08-06,-0.06712063492063493,63,-0.07036243386243386,0.011392995570176598,0.2845431333039263,False
2025-08-13,-0.0645640625,64,-0.06420878802910053,0.0031047668403827804,-0.11442867523894276,False
2025-08-20,-0.04790161290322582,62,-0.05986210344128692,0.010436666904178424,1.1460066227912262,False
2025-08-27,-0.004696666666666677,60,-0.0390541140232975,0.03089878554715381,1.1119351662628836,False
2025-09-03,-0.04700655737704919,61,-0.03320161231564723,0.024690063303629526,-0.559129570973721,False
2025-09-10,-0.10020000000000001,64,-0.050634408014571954,0.04785491243990081,-1.0357471871237554,False
2025-09-17,-0.04312698412698414,63,-0.06344451383467777,0.03189023509771525,0.637108162054318,False
2025-09-24,-0.10986451612903227,62,-0.08439716675200548,0.03606621269871625,-0.7061276126674,False
2025-10-01,-0.10754912280701755,57,-0.08684687435434464,0.03788023049927559,-0.5465185304653909,False
