topic,keywords,corr_with_sentiment
topic_0,"overpriced, dropped, causing, frequent, area, outage",0.09104098185472612
topic_1,"dropped, area, causing, frequent, frustrating, intermittent",-0.4082793817448181
topic_2,"service, charge, speak, need, warning, suddenly",0.5220614381433837
topic_3,"hour, past, unlimited, helpful, intermittent, coverage",0.20639848175811026
topic_4,"dropped, area, frequent, causing, unstable, poor",-0.4871811083544941
topic_5,"incorrect, recent, invoice, resolved, data, plan",0.14319075483282365
